AXIOMS Luce.ghostOrderKernel_ae_eq_count: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostOrderKernel_eq_count: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostOrderKernel_eq_density: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostOrderKernel_le_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostPathSum_ne_top: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostPathSum_toReal: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostPredecessorSum_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostPredecessorSum_ne_top: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostPredecessorSum_toReal: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostPredecessorSum_zero: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostWindowByOrder_count_bounds: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostWindowByOrder_iff_count: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostWindowByOrder_multiplicity_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostWindowByOrder_pos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostWindowLength_expectation_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostWindowLength_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostWindowVolume_ae_eq_count: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostWindowVolume_eq_count: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostWindowVolume_expectation_eq: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostWindowVolume_expectation_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostWindowVolume_ne_top_of_interior: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghost_cylinder_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghost_cylinder_bound_ennreal: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghost_cylinder_product_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.half_rates_le_two: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.hasDerivAt_rateKernel: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.hasDerivAt_rateKernel_time: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.hasDerivAt_survivalKernel: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.highCycleExpectation_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.highRateMass_eq_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.high_rate_cycle_vertex_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.high_rate_cycle_vertices_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.high_rate_density_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.high_rate_ghostEntry_bound: [propext, Classical.choice, Quot.sound]
